Spain,20-24,Male,Tabs,Less than 1 year,Desktop developer,Mac OS X,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,,,,,,,,Android,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"Less than $20,000",10000,Employed full-time,Gaming,I love my job,"I influence purchasing decisions, but don't have final approval",I rarely work remote,Yes,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,,,,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,Finding an open job that I'm qualified for,Searching for a job that seems interesting,,,,The interview process,About once a week,I wish more recruiters contacted me!,Great,Great,I don't have an account,Great,Great,I don't have an account,I don't have an account,Message is personalized,,,Team I would be working with isædescribed,Company culture is described,,,,,,,,,,People I would be working with,,Tolerate,Tolerate,Great,Tolerate,Great,,,,,Introduce me to the team,,Show me the space in which I will work,,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,,,Because the jobs ads are right there on Stack Overflow,,1,10-20 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,,,,,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,,,,
Sri Lanka,25-29,Male,Tabs,2 - 5 years,Desktop developer,Windows 7,,,,,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wordpress,,,Arduino / Raspberry Pi,,,,C++11,,,,,,,,,,,,,,,,,,Node.js,,,,Python,,,,,,,,,,,,,,,,No formal training; I'm self-taught,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),Masters Degree in Computer Science (or related field),,,"Less than $20,000",10000,Employed full-time,Gaming,I'm neither satisfied nor dissatisfied with my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,Salary,,,,,,,,Work/life balance,,Job title,,,,,,,,Somewhat important,,,,,,Taking time off work to interview,The interview process,About once a week,I wish more recruiters contacted me!,Great,Great,Tolerate,Great,Great,Great,Great,,,,Team I would be working with isædescribed,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,Benefits,Company name,Tech stack,Office location,Job title,People I would be working with,Details about the product or project I'd be working on,Tolerate,Tolerate,Great,Tolerate,Great,Show meæmore live code,Be more flexible about interview scheduling,,Introduce me to the boss,,,,,,No spam from recruiters,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,,,,2,10-20 hours per week,Multipleætimes a day,NotePad++,,Dark,Git,,SVN,,,,,,,,,Git,,To get help for my job,To give help to others,,To maintain an online presence,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,Demonstrating my expertise will benefit me,,,,
Sweden,20-24,Male,It depends,6 - 10 years,Desktop developer,Windows 7,,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,,,,,,,,,,,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Gaming,I love my job,"I influence purchasing decisions, but don't have final approval",Never,Yes,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,Company culture,,,,,Not important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,25-29,Male,Spaces,1 - 2 years,Desktop developer,Windows 8,,,,,,,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$40,000 - $60,000",50000,Employed full-time,Gaming,I love my job,"I influence purchasing decisions, but don't have final approval",Never,Yes,I am not interested in other job opportunities,,,,,Industry,,,,,,,,Quality of colleagues,Company culture,,,,,Not important,,,Searching for a job that seems interesting,,,Taking time off work to interview,,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Hate,Great,Tolerate,Hate,Message is personalized,Code or projects I've worked on are referenced,Stack Overflow activity is mentioned,,,,,,,,,Tech stack,Office location,Job title,,Details about the product or project I'd be working on,Hate,Tolerate,Tolerate,Great,Great,,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,Show me the space in which I will work,,,,It's a jobs site specificallyæfor programmers,,,,,1,5-10 hours per week,Once a day,Vim,,Dark,Git,,,,Perforce,,,,,,,Git,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,It feels good to demonstrate my expertise.,,I feel a sense of responsibility to the developer community,,,
Switzerland,51-60,Male,Spaces,11+ years,Desktop developer,Windows 7,,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,Arduino / Raspberry Pi,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,Industry certification program,,,,,,Rather not say,Rather not say,Freelance / Contractor,Gaming,I love my job,I can buy anything I want without asking anyone,I rarely work remote,No,I am open to new job opportunities,,,Ability to make or influence important decisions,,Industry,,,,,,,,,,,Building something that matters,,,Neutral - I don't mind working in the office or remotely,,,,Interesting companies rarely respond,,,The interview process,Rarely,I wish more recruiters contacted me!,Great,I don't have an account,,Tolerate,I don't have an account,I don't have an account,Hate,Message is personalized,,,Team I would be working with isædescribed,,,,,,,,Tech stack,,,People I would be working with,Details about the product or project I'd be working on,Hate,Tolerate,Great,Tolerate,Great,Show meæmore live code,Be more flexible about interview scheduling,Offer remote interviews (ie. via video conference),,,,,,,,,,,,,4,10-20 hours per week,Once a week,NotePad++,,Dark,,,,,,,,,,I don't use source control,,Git,,To get help for my job,,,,,To communicate with others like me,,Because I love to learn,,Usually,,,,,I feel a sense of responsibility to the developer community,,,
United Kingdom,35-39,Male,Tabs,11+ years,Desktop developer,Windows 8,,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,,,,,,,C#,,,,,,,F#,,,,iOS,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,Windows Phone,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$40,000 - $60,000",50000,Employed full-time,Gaming,I love my job,I can recommend or request products,I rarely work remote,No,I am open to new job opportunities,,,,,,Tech stack,,,,,,Office location,,,,,Remote working options,,Very important,,,,,,Taking time off work to interview,,A few times a week,"Please, make the recruiter spamŒæstop",Hate,Tolerate,I don't have an account,Hate,Great,Tolerate,Hate,,Code or projects I've worked on are referenced,,,,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,,Tech stack,Office location,Job title,,Details about the product or project I'd be working on,Hate,Hate,Tolerate,Great,Great,Show meæmore live code,,Offer remote interviews (ie. via video conference),,Introduce me to the team,,,,,No spam from recruiters,,,To showcase my Stack Overflow activity,,,8,10-20 hours per week,Multipleætimes a day,NotePad++,,Light,,,,,,TFS,,,,,,TFS,,To get help for my job,To give help to others,,To maintain an online presence,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,,,,I feel a sense of responsibility to the developer community,,,
United States,40-50,Male,Tabs,11+ years,Desktop developer,Windows 7,,,,,,C++,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Go,,,,,,,,,,,,,,,,,,,,,,,,Swift,,,,,No formal training; I'm self-taught,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"More than $160,000",170000,Employed full-time,Gaming,I love my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,,,,,Quality of colleagues,,,Building something that matters,,,Not important,,,Searching for a job that seems interesting,,,,,About once a week,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Tolerate,Hate,Hate,Hate,Tolerate,Hate,Hate,,Code or projects I've worked on are referenced,,Team I would be working with isædescribed,,Salary information is provided,,,Salary,,,,,,,,Hate,Tolerate,Great,Tolerate,Tolerate,,,,,,,,,,No spam from recruiters,,,,,,0,2-5 hours per week,Once a day,NotePad++,,Light,Git,,SVN,,,,,,,,,SVN,,To get help for my job,To give help to others,,,,,,,,Usually,,,,,,,,
United States,51-60,Male,Spaces,11+ years,Desktop developer,Windows 8,,,,,,C++,C++11,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,TypeScript,,,,,C++,C++11,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,TypeScript,No formal training; I'm self-taught,On-the-job training,,,,,,,,,,"$120,000 - $140,000",130000,Employed full-time,Gaming,I love my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,Work/life balance,,,,,Company culture,,,,,Neutral - I don't mind working in the office or remotely,,,,,,,,About once a week,"Please, make the recruiter spamŒæstop",Tolerate,Tolerate,I don't have an account,Hate,Tolerate,Tolerate,Tolerate,,Code or projects I've worked on are referenced,,,,Salary information is provided,,,Salary,,,,Office location,,,Details about the product or project I'd be working on,Hate,Great,Great,Tolerate,Great,,,,,Introduce me to the team,Offer me a decent cup of coffee,,,,,,,,,,6,2-5 hours per week,Once a week,,WebStorm,Light,,,,,Perforce,,,,,,,Perforce,,To get help for my job,To give help to others,,,,,,,,Sometimes,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United States,30-34,Male,Spaces,6 - 10 years,Desktop developer,Mac OS X,,,,,,,,C#,,,,,,,,,,,iOS,,,,,,,,,,,,,Ruby,,,,,,,,,,,,,,,,,C++,C++11,,,,,,,,,,,,iOS,,,,,,,,,,Python,,,,,,,,,,,,,,,,,On-the-job training,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Gaming,I love my job,I can recommend or request products,I rarely work remote,No,I am not interested in other job opportunities,Salary,,,,,,,,,Opportunity for advancement,,,,,,,,Flexible work hours,Somewhat important,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,,,The interview process,Rarely,"I wish fewer recruiters would contact me, or at least wereŒæmore selective",Great,Tolerate,I don't have an account,Hate,Great,Tolerate,Tolerate,Message is personalized,Code or projects I've worked on are referenced,,,,Salary information is provided,,,Salary,,,,,,,Details about the product or project I'd be working on,Tolerate,Hate,Tolerate,Great,Great,,,,,Introduce me to the team,,,Fewer brainteasers,Prepare me for who I will be speaking with,,It's a jobs site specificallyæfor programmers,Goodæselection of relevant jobs,To showcase my Stack Overflow activity,,,1,2-5 hours per week,Multipleætimes a day,Sublime Text,,Dark,Git,,SVN,,,,,,,,,SVN,,To get help for my job,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,,,,,,,,"I don't answer much (or at all), but I want to answer more"
United States,30-34,Male,Tabs,11+ years,Desktop developer,Windows 8,,,,,,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"Less than $20,000",10000,Other,Gaming,I'm somewhat satisfied with my job,Other,Part-time Remote,No,I am open to new job opportunities,,,,,,,,,,,,Office location,,,,Building something that matters,,Flexible work hours,Neutral - I don't mind working in the office or remotely,,,Searching for a job that seems interesting,Interesting companies rarely respond,,,The interview process,Never,,Great,Tolerate,I don't have an account,Tolerate,Tolerate,I don't have an account,Hate,,,,,Company culture is described,Salary information is provided,Benefits / perks of the work environment are described,,Salary,,,,Office location,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Great,,,Offer remote interviews (ie. via video conference),,,,,,Prepare me for who I will be speaking with,,,,,,,0,1-2 hours per week,Multipleætimes a day,,Metapad,Dark,Git,Mercurial,,,,,,,,,,Mercurial,,To get help for my job,To give help to others,,,,,,,,Sometimes,,,,,,,,
United States,25-29,Male,Tabs,6 - 10 years,Desktop developer,Windows 8,,Android,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,Android,,,,,,C#,,,,,,,,,,,iOS,Java,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,,,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"Less than $20,000",10000,Employed full-time,Gaming,I love my job,I can buy anything I want without asking anyone,Full-time Remote,No,I am open to new job opportunities,Salary,,,,,,,,,,,Office location,,,,,Remote working options,,It's non-negotiable,,Finding an open job that I'm qualified for,,,,,,Never,I wish more recruiters contacted me!,Great,Great,I don't have an account,Great,Tolerate,Hate,Hate,Message is personalized,Code or projects I've worked on are referenced,,,,,,Stack Overflow Careers Company Page is linked,Salary,,Company name,Tech stack,,,,,Tolerate,Hate,Great,Great,Great,Show meæmore live code,,Offer remote interviews (ie. via video conference),,,,,Fewer brainteasers,,,It's a jobs site specificallyæfor programmers,,,,,2,2-5 hours per week,Once a week,atom.io,,Dark,Git,,,,,,,,,,,Git,,,,,,,,To receive help onæmy personal projects,Because I love to learn,,Usually,It feels good to help a programmer in need,My answer will help lots of people who have the same problem in the future,,,,,,
United States,< 20,Male,Tabs,2 - 5 years,Desktop developer,Windows 7,,Android,Arduino / Raspberry Pi,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,,,Other,Gaming,I love my job,Other,I rarely work remote,No (I'm a student),I am open to new job opportunities,,,,,,,,,,,,,,Company culture,Company reputation,,,,Somewhat important,,Finding an open job that I'm qualified for,,Interesting companies rarely respond,Writing my CV and keeping it updated,,,Never,I wish more recruiters contacted me!,I don't have an account,I don't have an account,I don't have an account,I don't have an account,I don't have an account,I don't have an account,I don't have an account,,,,Team I would be working with isædescribed,Company culture is described,,,,,,Company name,,,,,Details about the product or project I'd be working on,Tolerate,Tolerate,Tolerate,Great,Tolerate,,Be more flexible about interview scheduling,,,Introduce me to the team,,Show me the space in which I will work,,,,,,,,,0,20+ hours per week,Once a week,,Eclipse,Light,,,,,,,,,,I don't use source control,,Git,,,,Because I can't do my job without it,,,,To receive help onæmy personal projects,,,Usually,It feels good to help a programmer in need,,It feels good to demonstrate my expertise.,,,,,"I don't answer much (or at all), but I want to answer more"
