What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,How many people work for your company?,Which of the following best describes your occupation?,"Including yourself, how many developers are employed at your company?",How large is the team that you work on?,What other departments / roles do you interact with regularly?,,,,,,,,,,"If your company has a native mobile app, what platforms do you support?",,,,,,,"If you make a software product, how does your company make money? (You can choose more than one)",,,,,,,,"In an average week, how do you spend your time?",,,,,,,,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2013?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,Which technologies are you excited about?,,,,,,,,,,,Which desktop operating system do you use the most?,"Please rate how important each of the following characteristics of a company/job offer are to you.    Please select a MAXIMUM of 3 items as ""Non-Negotiables"" to help us identify the most important items, those where you would never consider a company if they didn't meet them.",,,,,,,,,,,,,,,,Have you changed jobs in the last 12 months?,What best describes your career / job satisfaction?,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases?",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,How do you use Stack Overflow?,,,
Response,Response,Response,Response,Response,Response,Response,Response,Response,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,No mobile app,Advertising,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,Consulting,Grants / outside fund-raising,Other,Developing new features,Refactoring / code quality,Fixing bugs,Technical support,Meetings,Learning new skills,Surfing the Internet,Commuting,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify),Node.js,Haskell,CoffeeScript,Dart,TypeScript,C++11,WinRT,Redis,MongoDB,F#,PhoneGap,Response,High Base Compensation,Stock Options/Profit Sharing Program,Identification With the Company/Goals,Excitement About the Company's Products,Opportunity to Use/Learn New Technologies,Room for Growth of Skills/Knowledge,"High Quality Office Space (amenities, lounge space, free food, etc)",High Caliber Team (is everyone else smart/hardworking),"Positive Organization Structure (not much bureaucracy, helpful management)",Lots of Control Over Your Own Work,"Quality of Workstation (dream machine, 30inch monitors, etc)",Autonomy Over Budget/Expenditures,Office in a Desirable City/Area,Convenient Commute or Telecommute Options,40 hour work week,Limited night / weekend work,Response,Response,Response,iPhone,Android,Blackberry,Windows Phone,iPad,Android Tablet,Kindle Fire,Windows Tablet,Kindle,Nook,PS3,Xbox,Wii,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,Other (please specify)
United States of America,Utah,25-29,6/10/2013,Web Services,101-999,Back-End Web Developer,16-30,4/8/2013,System Administrators,Designers,Product Managers,,Technical Support,,,,,,iPhone,iPad,Android phone,,,,,Advertising,Direct sales to consumers,Direct sales to companies,,,,,,10-20 hours,1-2 hours,5-10 hours,1-2 hours,2-5 hours,1-2 hours,1-2 hours,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,C++,,Java,JavaScript,jQuery,,,,PHP,,,,,,,,,,C++11,,,MongoDB,,,Linux,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Non-Negotiable,Don't Care,Not Very Important,Don't Care,Somewhat Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Not Very Important,Not Very Important,Yes,Love my job,"$60,000 - $80,000",,Android,,,,Android Tablet,,,,,,,Wii,,$251-$500,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,"Zend, microsoft",200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
India,,< 20,2/5/2013,Web Services,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,,,,,,,,,,,,,,,,,,,,,,,,,,5-10 hours,1-2 hours,2-5 hours,None,None,20+ hours,10-20 hours,None,,,,,,No Involvement,,,,,,,,,C,C++,,Java,JavaScript,jQuery,,,,,Python,Ruby,,,Node.js,,,,,,,,,,,Mac OS X,Very Important,Somewhat Important,Very Important,Non-Negotiable,Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Not Very Important,Somewhat Important,,I wish I had a job!,Student / Unemployed,iPhone,Android,,,,,,,Kindle,,,Xbox,,,"$501-$1,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,North Carolina,35-39,11,Finance / Banking,101-999,Manager of Developers or Team Leader,31-50,1/3/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,,,Consultants,,,,,,,,,,No mobile app,,,,,,,,Other,5-10 hours,2-5 hours,1-2 hours,2-5 hours,2-5 hours,1-2 hours,None,1-2 hours,I can recommend or request products,,,,,,,Hardware,Servers,Software,,,,"$10,001 - $25,000",,,C#,,JavaScript,jQuery,,Node.js,,,,,SQL,,Node.js,,,,,,WinRT,,,,,Windows 8,Non-Negotiable,Somewhat Important,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Very Important,Non-Negotiable,Somewhat Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,Not Very Important,No,Love my job,">$140,000",iPhone,Android,,Windows Phone,iPad,Android Tablet,,Windows Tablet,,Nook,PS3,Xbox,Wii,,">$3,000",Neutral,,Neutral,Neutral,Neutral,Neutral,,Don't have an account,Read other people's questions to solve my problems,,,
Russia,,20-24,6/10/2013,Software Products,1/25/2013,Desktop Software Developer,1/5/2013,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,,,,,,,No mobile app,,Direct sales to consumers,Direct sales to companies,,,Consulting,,,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,,,,,,No Involvement,,,,,,,,,,C++,C#,,,jQuery,,,,,,,,,,,,,TypeScript,,,,MongoDB,F#,,Windows 7,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,No,I'm not happy in my job,"<$20,000",,,,,,,,,,,,,,Bada Wave,<$100,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Texas,40-50,2/5/2013,Other,1/25/2013,I don't work in tech,1/5/2013,Just me!,,,,,,,,Customers,,,,,,,,,No mobile app,,,,,,,,Other,None,None,None,None,None,None,None,None,,,,,,No Involvement,,,,,,,,,,,C#,,JavaScript,,,,,,,,SQL,,Node.js,,,,,,,,MongoDB,,,Other,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Somewhat Important,Not Very Important,Somewhat Important,No,I wish I had a job!,Student / Unemployed,,,,Windows Phone,,,Kindle Fire,,Kindle,,,Xbox,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,100,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Australia,,25-29,6/10/2013,Consulting,1/25/2013,Manager of Developers or Team Leader,1/5/2013,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,,,Consultants,,,,,,,,,,,,,,,,,,,1-2 hours,1-2 hours,1-2 hours,1-2 hours,10-20 hours,1-2 hours,2-5 hours,1-2 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,,JavaScript,,,,,,,,SQL,,,,,,,,,,MongoDB,,,Mac OS X,Somewhat Important,Don't Care,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Non-Negotiable,Very Important,Very Important,Not Very Important,Not Very Important,Very Important,Very Important,Somewhat Important,Very Important,Yes,I enjoy going to work,">$140,000",iPhone,,,,iPad,,,,Kindle,,PS3,,,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,50,Read other people's questions to solve my problems,,Answer questions I know the answer to,
United States of America,Pennsylvania,51-60,11,Manufacturing,1/25/2013,Other,1/5/2013,1/3/2013,,Designers,Product Managers,Testers / Quality Assurance,,Sales / Marketing,,Customers,,,,,,,,,No mobile app,,,,,,,,,5-10 hours,1-2 hours,1-2 hours,5-10 hours,1-2 hours,5-10 hours,2-5 hours,1-2 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,,,,Don't know,,,C#,,,,,,,,,,SQL,Delphi,,,,,,,,,,,,Windows 7,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Don't Care,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Yes,I enjoy going to work,"$60,000 - $80,000",iPhone,,,,,,,,Kindle,,,,Wii,Wii U,"$1,001-$2,000",Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,"MIcrosoft Items (SQL Visual Studio, WIndows 8)  Stack Exchange Ads",200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Australia,,30-34,11,Other,1/25/2013,Manager of Developers or Team Leader,6/15/2013,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,Consultants,Customers,Finance,Human Resources,,,,,,,No mobile app,,,,Software as a service / recurring billing,,,,,10-20 hours,10-20 hours,2-5 hours,1-2 hours,1-2 hours,2-5 hours,5-10 hours,None,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,,,,Don't know,,,,Java,,,,,Objective-C,,,,,,,,,,,,,,,,,Mac OS X,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Yes,I enjoy going to work,Rather not say,iPhone,,,,iPad,,,,,,PS3,,Wii,,"$501-$1,000",Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,,3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
South America,,40-50,11,Software Products,1/25/2013,Desktop Software Developer,1/5/2013,1/3/2013,,,,,,,,Customers,,,,,,,,,No mobile app,,,Direct sales to companies,,,Consulting,,,10-20 hours,2-5 hours,5-10 hours,2-5 hours,1-2 hours,5-10 hours,1-2 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$1,001 - $5,000",,,C#,,JavaScript,,,,,,,,SQL,,,,,,TypeScript,C++11,,,,,,Windows 7,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Don't Care,Not Very Important,Don't Care,Don't Care,Yes,Love my job,"$60,000 - $80,000",,Android,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,500,Read other people's questions to solve my problems,,,
United Kingdom,,25-29,6/10/2013,Software Products,1/25/2013,Mobile Application Developer,1/5/2013,1/3/2013,System Administrators,Designers,,Testers / Quality Assurance,,Sales / Marketing,,,,,,,,,,,,,,Direct sales to companies,,Mobile app sales,Consulting,,,2-5 hours,5-10 hours,10-20 hours,1-2 hours,5-10 hours,1-2 hours,1-2 hours,2-5 hours,I can recommend or request products,,I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",C,C++,C#,Java,JavaScript,,,,Objective-C,PHP,,,SQL,,,,,,,C++11,WinRT,,,,,Mac OS X,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Not Very Important,,Somewhat Important,Not Very Important,Not Very Important,Yes,I enjoy going to work,"$100,000 - $120,000",iPhone,Android,,,iPad,,,,Kindle,,,Xbox,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Dont really remember seeing any.,100,,Ask questions to solve problems,,
Other Europe,,20-24,<2,Software Products,1/25/2013,Enterprise Level Services,6/15/2013,4/8/2013,,,Product Managers,Testers / Quality Assurance,,,,,,,,,Android phone,,,,,,,Direct sales to companies,,,,,,5-10 hours,2-5 hours,2-5 hours,2-5 hours,1-2 hours,1-2 hours,1-2 hours,None,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,Java,,,,,,,,,,,,,,,,,,Redis,MongoDB,,,Linux,Very Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Very Important,Very Important,Non-Negotiable,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,No,Love my job,"<$20,000",,Android,,,,,,,,,,,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
France,,< 20,2/5/2013,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,2/5/2013,Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,20-24,6/10/2013,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,North Carolina,40-50,11,Finance / Banking,3001,Manager of Developers or Team Leader,100,15,System Administrators,,Product Managers,Testers / Quality Assurance,Technical Support,,,,,,iPhone,iPad,,,,,,,,,,,,,,2-5 hours,1-2 hours,2-5 hours,2-5 hours,10-20 hours,1-2 hours,None,5-10 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,100001,,,C#,,JavaScript,jQuery,,,,,,,SQL,PowerShell,Node.js,,,,TypeScript,,WinRT,,,,,Windows XP,Non-Negotiable,Somewhat Important,Don't Care,Don't Care,Somewhat Important,Somewhat Important,Not Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Non-Negotiable,Somewhat Important,Very Important,Very Important,No,I'm not happy in my job,">$140,000",iPhone,,,,iPad,,,,Kindle,,,Xbox,,,">$3,000",Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,"only careers 2.0 comes to mind. I notice the sponsored tags a lot, if that helps.",3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Canada,,25-29,6/10/2013,Web Services,26-100,Full-Stack Web Developer,16-30,4/8/2013,System Administrators,,Product Managers,Testers / Quality Assurance,,,,,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,5-10 hours,5-10 hours,5-10 hours,1-2 hours,1-2 hours,2-5 hours,2-5 hours,2-5 hours,I can recommend or request products,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,,,,,,,,,,,,Windows 8,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Very Important,Not Very Important,Don't Care,Don't Care,No,Love my job,"$40,000 - $60,000",,,,,iPad,,,,,,PS3,,Wii,,"$1,001-$2,000",Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,,1000,Read other people's questions to solve my problems,Ask questions to solve problems,,
Other Europe,,25-29,11,Software Products,1/25/2013,Full-Stack Web Developer,1/5/2013,4/8/2013,,,Product Managers,,Technical Support,Sales / Marketing,,,,,,,,,,,,,Direct sales to consumers,Direct sales to companies,,,,,,10-20 hours,1-2 hours,2-5 hours,None,1-2 hours,1-2 hours,1-2 hours,1-2 hours,I can recommend or request products,,,,,,,,,,,,Other,"<$1,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,angularjs,,,,,,,,,,,,Windows 7,Very Important,Not Very Important,Somewhat Important,Very Important,Non-Negotiable,Non-Negotiable,Not Very Important,Very Important,Very Important,Non-Negotiable,Not Very Important,Very Important,Not Very Important,Non-Negotiable,Very Important,Very Important,Yes,Love my job,Rather not say,,Android,,,,,,,Kindle,,,,Wii,,$100-$250,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,"Smthing regarding Windows 8, but not sure..",2000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,New York,20-24,2/5/2013,Web Services,26-100,Back-End Web Developer,6/15/2013,4/8/2013,System Administrators,,Product Managers,,,,,,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,1-2 hours,2-5 hours,10-20 hours,None,1-2 hours,1-2 hours,None,2-5 hours,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,,,,,,,,Redis,MongoDB,,,Linux,Very Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,No,It's a paycheck,"$40,000 - $60,000",iPhone,,,,iPad,,,,,,,,,,"$501-$1,000",Agree,Neutral,Neutral,Agree,Disagree,Disagree,Mainly Stackoverflow Careers 2.0,500,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,New York,20-24,6/10/2013,Web Services,101-999,Other,31-50,4/8/2013,System Administrators,Designers,Product Managers,Testers / Quality Assurance,Technical Support,Sales / Marketing,,Customers,,,,,,,,,No mobile app,,,Direct sales to companies,Software as a service / recurring billing,,,,,2-5 hours,1-2 hours,None,10-20 hours,5-10 hours,2-5 hours,20+ hours,1-2 hours,I can recommend or request products,,I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,,,,,JavaScript,jQuery,,Node.js,,PHP,Python,Ruby,,,Node.js,,CoffeeScript,,,,,Redis,MongoDB,,,Mac OS X,Very Important,Somewhat Important,Very Important,Somewhat Important,Non-Negotiable,Non-Negotiable,Somewhat Important,Very Important,Not Very Important,Very Important,Somewhat Important,Somewhat Important,Non-Negotiable,Somewhat Important,Don't Care,Don't Care,Yes,Love my job,"$100,000 - $120,000",,Android,,,,,,,,,,Xbox,Wii,,">$3,000",Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,,3000,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,Ohio,51-60,11,Other,3001,Desktop Software Developer,100,1/3/2013,System Administrators,,,,,,,,,,,,,,,,,,,,,,,,,10-20 hours,10-20 hours,1-2 hours,,1-2 hours,10-20 hours,,,,"I influence purchasing decisions, but don't have final approval",,,,,,,,Software,,,,Don't know,C,,,,,,,,,,,,,fortran,,,,,,,,,,,,Windows 7,Very Important,Don't Care,Somewhat Important,Not Very Important,Non-Negotiable,Non-Negotiable,Don't Care,Very Important,Not Very Important,Non-Negotiable,Don't Care,Don't Care,Somewhat Important,Very Important,Don't Care,Don't Care,Yes,Love my job,"$80,000 - $100,000",,Android,,,,,,,,,,,,,"$501-$1,000",Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,none,Don't have an account,Read other people's questions to solve my problems,,,
Other Europe,,35-39,11,Education,101-999,Other,50-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I influence purchasing decisions, but don't have final approval",,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$1,001 - $5,000",C,C++,,Java,,,,,,,Python,,SQL,,,,,,,,,,,,,Linux,,,,,,,,,,,,,,,,,,It's a paycheck,,,Android,,,,,,,Kindle,,,,Wii,,$251-$500,Neutral,Neutral,,Agree,Strongly Disagree,Disagree,,200,Read other people's questions to solve my problems,,Answer questions I know the answer to,
Middle East,,20-24,2/5/2013,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,< 20,2/5/2013,Software Products,1/25/2013,Desktop Software Developer,1/5/2013,Just me!,,,,,,,,,,,,,,,,,,,,,,,,,Other,1-2 hours,1-2 hours,1-2 hours,None,None,2-5 hours,2-5 hours,None,,,,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,,,,"<$1,000",,,,,JavaScript,jQuery,,,Objective-C,,Python,,,,,,,,,,,,,,,Mac OS X,Not Very Important,Don't Care,Very Important,Non-Negotiable,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Non-Negotiable,Somewhat Important,Not Very Important,Non-Negotiable,Somewhat Important,Somewhat Important,Somewhat Important,No,It's a paycheck,Rather not say,iPhone,,,,iPad,,,,,,,,,,">$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Carriers 2.0  Adblock,200,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,20-24,2/5/2013,Software Products,1/25/2013,Mobile Application Developer,1/5/2013,1/3/2013,,,,,,Sales / Marketing,,Customers,,,iPhone,iPad,,,,,,,Direct sales to consumers,Direct sales to companies,Software as a service / recurring billing,Mobile app sales,,,,5-10 hours,2-5 hours,5-10 hours,None,None,5-10 hours,20+ hours,None,I can recommend or request products,,,,,,,,Servers,Software,,,,"<$1,000",,C++,,,JavaScript,jQuery,,,Objective-C,,Python,,,,,Haskell,,,,C++11,,,,,,Mac OS X,Not Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Somewhat Important,Don't Care,Very Important,Somewhat Important,Non-Negotiable,Don't Care,Don't Care,Don't Care,Not Very Important,Don't Care,Non-Negotiable,Yes,Love my job,Rather not say,iPhone,,,,iPad,,,,,,,,,,"$2,001-$3,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,I don't look on ads. Seriously.,50,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
Other Europe,,< 20,2/5/2013,Software Products,"Other (not working, consultant, etc.)",Student,1/5/2013,Just me!,System Administrators,Designers,,Testers / Quality Assurance,Technical Support,,,,,,iPhone,iPad,,,,,,,,,,,,,Other,5-10 hours,1-2 hours,1-2 hours,None,None,2-5 hours,2-5 hours,None,,,I have a discretionary budget at my disposal,I can buy anything I want without asking anyone,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$1,000",,,,,JavaScript,,,,,PHP,Python,,,,,,,,,,,,,,,Mac OS X,Somewhat Important,Don't Care,Somewhat Important,Somewhat Important,Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Non-Negotiable,Non-Negotiable,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,No,I wish I had a job!,Student / Unemployed,iPhone,,,,,,,,,,PS3,,,iMac,"$1,001-$2,000",Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,"Microsoft, lately.",1,Read other people's questions to solve my problems,Ask questions to solve problems,Answer questions I know the answer to,
United States of America,New Jersey,30-34,6/10/2013,Other,3001,Back-End Web Developer,50-100,9/15/2013,System Administrators,,,Testers / Quality Assurance,,,,Customers,,,iPhone,iPad,Android phone,Android tablet,Blackberry,Other,,,,,Software as a service / recurring billing,,,,Other,5-10 hours,5-10 hours,5-10 hours,2-5 hours,2-5 hours,2-5 hours,5-10 hours,2-5 hours,I can recommend or request products,,,,,,,,,Software,,,,Don't know,,,,Java,,,,,,,,,,,,,,,,,,,,,,Mac OS X,Somewhat Important,Not Very Important,Very Important,Very Important,Non-Negotiable,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Very Important,No,It's a paycheck,"$100,000 - $120,000",iPhone,Android,,,iPad,,,,Kindle,,,,Wii,,"$1,001-$2,000",Neutral,Neutral,Neutral,Agree,Agree,Strongly Disagree,,500,,Ask questions to solve problems,Answer questions I know the answer to,
